num_requests,runtime,tputK,latency(med),latency(tail)
10000,0.708371,14.117,66.477,99.515
20000,1.557986,12.837,66.646,92.879
30000,2.116733,14.173,67.167,93.803
40000,2.813216,14.219,66.308,95.72
50000,3.509255,14.248,66.631,95.815
10000,0.620364,16.12,59.195,76.802
10000,0.62109,16.101,59.172,76.678
20000,1.213941,16.475,58.935,65.45
20000,1.21409,16.473,58.83,65.409
30000,1.795826,16.705,57.559,64.472
30000,1.797611,16.689,58.056,64.293
40000,2.392285,16.72,58.425,63.54
40000,2.394801,16.703,55.792,63.59
50000,2.973004,16.818,56.448,63.931
50000,2.975856,16.802,57.601,64.028
10000,0.503028,19.88,48.571,75.559
10000,0.503143,19.875,48.584,75.622
10000,0.504631,19.816,48.585,81.135
20000,0.991496,20.172,48.095,69.155
20000,0.992919,20.143,48.093,69.281
20000,0.994429,20.112,48.076,69.595
30000,1.452461,20.655,46.539,60.341
30000,1.454268,20.629,46.531,60.834
30000,1.454398,20.627,46.541,60.177
40000,1.934334,20.679,46.771,58.213
40000,1.934523,20.677,46.756,58.356
40000,1.938378,20.636,46.767,58.419
50000,2.431769,20.561,46.778,60.366
50000,2.431983,20.559,46.784,60.502
50000,2.437137,20.516,46.804,60.478
10000,0.677969,14.75,65.912,105.176
10000,0.678617,14.736,65.919,107.203
10000,0.678666,14.735,65.937,108.418
10000,0.680063,14.705,65.929,109.057
20000,1.279056,15.637,61.964,83.358
20000,1.280718,15.616,62.004,85.38
20000,1.282051,15.6,62.005,86.259
20000,1.283324,15.585,61.959,87.288
